"Product Name",Category,age_range,purchase_count,profit
"MGS Shadow-run 2008 E131","Games and Toys",11-20,2,53.56
"Adventure Works Laptop19W X1980 Blue",Computers,11-20,5,4343.1
"Fabrikam Budget Movie-Maker 1'' 25mm E400 Black","Cameras and camcorders",11-20,6,1221.72
"Contoso 8GB Super-Slim MP3/Video Player M800 Red",Audio,11-20,1,59.39
"Contoso USB Data Link - direct connect adapter E600 White",Computers,11-20,5,41.4
"Fabrikam SLR Camera 35" X358 Silver","Cameras and camcorders",11-20,8,2276.8
"Litware Microwave 1.0CuFt E110 White","Home Appliances",11-20,7,480.34
"Contoso Phone with Memory Dialing-single line E88 White","Cell phones",11-20,8,51.27
"Proseware Ink Jet All in one M300 Black",Computers,11-20,3,273.84
"A. Datum Full Frame Digital Camera X300 Green","Cameras and camcorders",11-20,2,308.94
"Adventure Works Laptop15.4W M1548 Red",Computers,11-20,1,409.42
"Litware Microwave 1.0CuFt E110 Silver","Home Appliances",11-20,1,61.48
"WWI LCD22 M2002 White",Computers,11-20,6,2483.46
"Contoso 8GB Clock & Radio MP3 Player X850 Silver",Audio,11-20,1,157.93
"Contoso Coffee Maker 5C E0900 Silver","Home Appliances",11-20,4,276.79
"Proseware LCD22 M2000 White",Computers,11-20,1,326.78
"Contoso Centrex Phone System L10 Grey","Cell phones",11-20,3,66.8
"The Phone Company Touch Screen Phone 1600 TFT-2.2" L200 Gold","Cell phones",11-20,4,1414.92
"SV 2GB Laptop memory E800 Black",Computers,11-20,6,132.09
"MGS Zoo Tycoon Marine Mania 2009 E160","Games and Toys",11-20,2,31.38
"WWI Projector 480p DLP12 White",Computers,11-20,2,489.2
"Litware Microwave 2.2CuFt M125 Grey","Home Appliances",11-20,4,432.08
"Proseware Screen 125in X1609 Silver",Computers,11-20,4,964.83
"SV 2GB Laptop memory E800 White",Computers,11-20,9,341.27
"Contoso USB Cable M250 White","Cameras and camcorders",11-20,2,24.01
"SV Rechargeable Bluetooth Notebook Mouse E80 Silver",Computers,11-20,5,206.83
"A. Datum SLR Camera 35" M358 Black","Cameras and camcorders",11-20,1,182.57
"Litware Home Theater System 5.1 Channel M516 Black","TV and Video",11-20,6,1876.44
"Contoso USB Optical Mouse E200 Grey",Computers,11-20,5,38
"Contoso Water Heater 4.3GPM M1250 Yellow","Home Appliances",11-20,2,947.94
"Contoso Washer & Dryer 25.5in M255 Green","Home Appliances",11-20,10,10743.3
"Litware 180 CFM Vertical Discharge Fan X450 Blue","Home Appliances",11-20,4,461.49
"Litware Washer & Dryer 25.5in M350 White","Home Appliances",11-20,1,1074.33
"Contoso SLR Camera 35" X358 Black","Cameras and camcorders",11-20,2,759.62
"Contoso ADSL Modem Splitter/Filter X 1 E100 White",Computers,11-20,4,35.08
"The Phone Company Smart phones 160x160 M26 Black","Cell phones",11-20,2,224.7
"MGS Flight Simulator X Acceleration Expansion Pack M200","Games and Toys",11-20,2,75.76
"SV Car Video LCD7W M7080 Brown","TV and Video",11-20,7,1890.49
"Proseware Screen 106in M1609 Black",Computers,11-20,3,406.71
"Contoso USB Data Link - direct connect adapter E600 Grey",Computers,11-20,2,22.45
"Proseware Air conditioner 25000BTU L167 Grey","Home Appliances",11-20,7,2702.72
"Fabrikam Business Videographer 1'' 25mm M600 White","Cameras and camcorders",11-20,9,4326.48
"Proseware Desk Lamp E0120 Silver","Home Appliances",11-20,1,14.7
"Adventure Works CRT17 E105 Black",Computers,11-20,7,202.44
"Proseware Projector 720p LCD56 Silver",Computers,11-20,4,1510.24
"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Black","Cameras and camcorders",11-20,5,5029.19
"Contoso 512MB MP3 Player E51 Blue",Audio,11-20,12,76.44
"Proseware Duplex Scanner M200 Grey",Computers,11-20,3,218.66
"SV Car Video TFT6.2W E6282 Black","TV and Video",11-20,3,350.05
"A. Datum Ultra Compact Digital Camera M190 Azure","Cameras and camcorders",11-20,9,802.08
"Contoso 16GB Mp5 Player M1600 Blue",Audio,11-20,4,567.4
"Proseware Fax Phone E100 White",Computers,11-20,1,42.64
"Proseware Ink Jet Fax Machine E100 Grey",Computers,11-20,3,114.69
"Litware Refrigerator 4.6CuFt E280 White","Home Appliances",11-20,1,147.05
"A. Datum Super-zoom Digital Camera X300 Black","Cameras and camcorders",11-20,2,315.66
"Proseware LCD17W E202 White",Computers,11-20,1,54.57
"Litware Washer & Dryer 15.5in E150 Green","Home Appliances",11-20,8,3198.98
"Litware 16" White Oscillating Stand Fan E701 Silver","Home Appliances",11-20,2,28.52
"Fabrikam Social videographer 1'' 25mm E400 Black","Cameras and camcorders",11-20,1,78.67
"Contoso ADSL Modem Splitter/Filter X 2 E200 White",Computers,11-20,1,9.8
"A. Datum Consumer Digital Camera M300 Black","Cameras and camcorders",11-20,1,132.62
"WWI CRT17 E106 White",Computers,11-20,1,63
"Fabrikam Laptop12 M2002 Red",Computers,11-20,2,471.73
"Fabrikam Microwave 0.8CuFt E0800 Silver","Home Appliances",11-20,1,60.97
"Contoso Lens Adapter M450 Grey","Cameras and camcorders",11-20,3,144.59
"MGS Age of Empires II: The Age of Kings E126","Games and Toys",11-20,2,60.2
"Adventure Works 52" LCD HDTV X790W Brown","TV and Video",11-20,1,1397.06
"Fabrikam Microwave 0.9CuFt E0900 Black","Home Appliances",11-20,3,187.55
"Contoso Laptop Starter Bundle M200 White",Computers,11-20,3,23.95
"Proseware LCD15 E103 Black",Computers,11-20,2,85.33
"WWI Projector 720p DLP56 Silver",Computers,11-20,3,1364
"Fabrikam Microwave 1.6CuFt M1250 Black","Home Appliances",11-20,1,97.22
"Contoso 16GB Mp5 Player M1600 Green",Audio,11-20,9,1075.95
"Contoso ADSL Modem Splitter/Filter X 3 E300 White",Computers,11-20,2,46.96
"Contoso Microwave 1.0CuFt E0110 White","Home Appliances",11-20,3,271.36
"SV Car Video TFT7 M7000 Black","TV and Video",11-20,1,146.56
"Litware Refrigerator 9.7CuFt M560 Silver","Home Appliances",11-20,4,1065.16
"Adventure Works LCD20W M240 White",Computers,11-20,1,150.7
"Contoso Single-line phones E10 White","Cell phones",11-20,3,11.62
"Adventure Works Laptop12 M1200 Black",Computers,11-20,6,1126.26
"Litware Refrigerator 3.2CuFt E160 Brown","Home Appliances",11-20,1,108.38
"Proseware Air conditioner 6000BTU E180 White","Home Appliances",11-20,2,155.75
"A. Datum Consumer Digital Camera M300 Pink","Cameras and camcorders",11-20,1,141.68
"Fabrikam Laptop15.4W M5480 White",Computers,11-20,2,1164.06
"Fabrikam Trendsetter 2/3'' 17mm X100 White","Cameras and camcorders",11-20,5,3276.55
"Contoso Wireless Notebook Optical Mouse M35 Silver",Computers,11-20,1,16.18
"Contoso 32GB Video MP3 Player M3200 Black",Audio,11-20,7,1193.57
"The Phone Company Smart phones without camera E100 White","Cell phones",11-20,4,252.92
"MGS Combat Flight Simulator 2009 E177","Games and Toys",11-20,5,78.45
"WWI Screen 106in M1609 Silver",Computers,11-20,1,135.57
"Fabrikam Microwave 0.8CuFt E0800 Grey","Home Appliances",11-20,5,232.8
"Fabrikam Coffee Maker Super-Auto 12C X125 Silver","Home Appliances",11-20,6,5779.85
"Proseware Projector 480p LCD12 Black",Computers,11-20,7,785.75
"Contoso ADSL Modem Splitter/Filter X 3 E300 Grey",Computers,11-20,8,267.22
"A. Datum SLR Camera 35" X358 Grey","Cameras and camcorders",11-20,5,1582.16
"WWI Projector 1080p DLP86 White",Computers,11-20,8,10758.76
"The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black","Cell phones",11-20,10,1144.53
"Contoso SLR Camera X142 Black","Cameras and camcorders",11-20,1,425.95
"Contoso Projector 720p M620 White",Computers,11-20,2,633.47
"Litware Microwave 1.6CuFt M125 Blue","Home Appliances",11-20,7,593.7
"A. Datum SLR Camera X138 Silver Grey","Cameras and camcorders",11-20,1,419.26
"Contoso Expandable1-Handset Cordless Phone System M207 Grey","Cell phones",11-20,3,76.86
"MGS Age of Mythology E118","Games and Toys",11-20,3,36.58
"MGS Age of Empires III: The War Chiefs 2007 E132","Games and Toys",11-20,2,42.16
"Contoso Bluetooth Notebook Mouse E70 White",Computers,11-20,2,49.02
"Litware Refrigerator 19CuFt M760 Silver","Home Appliances",11-20,3,1456.74
"Fabrikam Trendsetter 1/2" 3mm X300 Orange","Cameras and camcorders",11-20,7,4680.76
"Fabrikam Trendsetter 1/3" 8.5mm X200 Blue","Cameras and camcorders",11-20,3,2002.02
"Proseware Screen 113in X1609 Black",Computers,11-20,5,999.7
"Litware Home Theater System 4.1 Channel M410 Brown","TV and Video",11-20,2,647.08
"Adventure Works 19" Color Digital TV E35 White","TV and Video",11-20,5,340.78
"Fabrikam Coffee Maker 4C E080 White","Home Appliances",11-20,9,573.03
"Contoso Coffee Maker Auto 5C E0900 Silver","Home Appliances",11-20,3,239.7
"Contoso Expandable Cordless Phone System M008 Grey","Cell phones",11-20,3,37.26
"Litware USB Foam Fan E1301 Pink","Home Appliances",11-20,3,29.4
"Litware Refrigerator 24.7CuFt X980 Brown","Home Appliances",11-20,1,2139.77
"Fabrikam Laptop16W M6080 Black",Computers,11-20,1,522.31
"Contoso Travel Charger for S-Series Battery E302 Silver","Cameras and camcorders",11-20,3,71.89
"Contoso Coffee Maker 12C M1000 Silver","Home Appliances",11-20,1,182.26
"WWI Wall Lamp E215 White","Home Appliances",11-20,5,294.1
"Litware Washer & Dryer 21in E214 White","Home Appliances",11-20,4,3135.12
"SV 22xDVD X680 Black","TV and Video",11-20,4,452.04
"Proseware Ink Jet Wireless All-In-One Printer M400 Black",Computers,11-20,3,209.04
"Proseware Air conditioner 5200BTU E100 White","Home Appliances",11-20,2,107.82
"Fabrikam Social Videographer 1/2" 3mm E300 Orange","Cameras and camcorders",11-20,3,215.69
"MGS Age of Empires II: The Conquerors Expansion E125","Games and Toys",11-20,2,24.75
"Adventure Works LCD19 E108 Black",Computers,11-20,8,534.19
"Fabrikam Refrigerator 19CuFt M7600 Blue","Home Appliances",11-20,2,780.81
"The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey","Cell phones",11-20,9,1271.53
"A. Datum SLR Camera X140 Pink","Cameras and camcorders",11-20,1,419.26
"NT Washer & Dryer 25.5in M2550 White","Home Appliances",11-20,6,4963.09
"Contoso Conversion Lens M550 Silver","Cameras and camcorders",11-20,6,664.38
"MGS Freelancer 2009 E153","Games and Toys",11-20,2,42.16
"Proseware Photo Inkjet Printer E290 Green",Computers,11-20,6,300
"Contoso SLR Camera 35" X358 Silver Grey","Cameras and camcorders",11-20,2,759.62
"Contoso Digital camera accessory kit M200 Grey",Computers,11-20,3,38.73
"Adventure Works Laptop15 M1501 Red",Computers,11-20,4,1585.11
"Adventure Works Laptop15.4W M1548 Black",Computers,11-20,6,2456.52
"WWI Screen 100in M1609 Black",Computers,11-20,1,102.63
"Contoso Water Heater 2.6GPM E0900 Blue","Home Appliances",11-20,1,249.01
"Fabrikam Laptop14.1W M4180 Red",Computers,11-20,2,493.58
"Litware Wall Lamp E2015 White","Home Appliances",11-20,4,235.28
"Contoso Microwave 0.9CuFt E0090 Grey","Home Appliances",11-20,3,147.03
"Contoso Smart Battery M901 White",Computers,11-20,2,12.42
"MGS Rise of Nations: Gold Edition 2009 E143","Games and Toys",11-20,3,63.24
"SV 16xDVD E340 Black","TV and Video",11-20,3,160.41
"Adventure Works Laptop15.4W M1548 White",Computers,11-20,2,1082.59
"Litware Refrigerator 3.2CuFt E160 White","Home Appliances",11-20,3,500.13
"SV 16xDVD M320 Silver","TV and Video",11-20,4,226.98
"MGS Zoo Tycoon 2: Zookeeper Collection 2008 E134","Games and Toys",11-20,3,91.91
"Contoso Projector 720p M621 Silver",Computers,11-20,6,4279.78
"Litware 80mm Dual Ball Bearing Case Fan E1001 Black","Home Appliances",11-20,2,6.46
"Litware 3-Speed Oscillating Blower Fan M115 White","Home Appliances",11-20,6,304.71
"Proseware Projector 720p DLP56 White",Computers,11-20,5,2698
"Adventure Works Desk Lamp E1200 Black","Home Appliances",11-20,6,88.2
"MGS Zoo Tycoon 2: African Adventure M280","Games and Toys",11-20,6,227.28
"Fabrikam Refrigerator 1.7CuFt E1200 Orange","Home Appliances",11-20,1,58.09
"Contoso Water Heater 7.2GPM X1800 White","Home Appliances",11-20,2,1687.56
"Litware Home Theater System 5.1 Channel M512 Black","TV and Video",11-20,4,1510.24
"Contoso Home Theater System 4.1 Channel M1420 Brown","TV and Video",11-20,2,470.56
"A. Datum SLR Camera M140 Pink","Cameras and camcorders",11-20,2,337.04
"Contoso Macro Zoom Lens X300 White","Cameras and camcorders",11-20,1,245.1
"Proseware LCD22W M2001 Black",Computers,11-20,10,4070.24
"NT Bluetooth Active Headphones E202 Silver",Audio,11-20,6,117.94
"Contoso Coffee Maker Auto 5C E0900 Black","Home Appliances",11-20,3,184.21
"Contoso 4 Handset Cordless Phone System M86 Grey","Cell phones",11-20,3,58.32
"Proseware LCD20 M200 White",Computers,11-20,5,699.45
"Contoso Conversion Lens M550 Black","Cameras and camcorders",11-20,3,332.19
"Adventure Works Coffee Maker 12C M100 White","Home Appliances",11-20,2,480.72
"Proseware LCD20W M230 Black",Computers,11-20,5,753.5
"A. Datum SLR Camera 35" M358 Pink","Cameras and camcorders",11-20,2,283.6
"Litware Desktop Wind Tower Oscillating Fan E1201 White","Home Appliances",11-20,5,73.5
"Contoso Home Theater System 7.1 Channel M1700 White","TV and Video",11-20,5,2972.3
"Contoso Water Heater 7.2GPM X1800 Grey","Home Appliances",11-20,5,4709.48
"Contoso Air conditioner 25000BTU L1672 Red","Home Appliances",11-20,4,1701.08
"Proseware Laser Jet All in one X300 Black",Computers,11-20,3,439.32
"Contoso Microwave 0.9CuFt E0090 Red","Home Appliances",11-20,2,98.02
"Fabrikam Refrigerator 19CuFt M7600 Silver","Home Appliances",11-20,6,2913.48
"Litware Refrigerator 19CuFt M760 Orange","Home Appliances",11-20,5,2173.94
"Adventure Works LCD19 E108 White",Computers,11-20,2,130.47
"Litware Microwave 1.6CuFt M125 White","Home Appliances",11-20,1,93.09
"Contoso Expandable 3-Handset Cordless Phone System M204 Grey","Cell phones",11-20,2,38.88
"Proseware Screen 125in X1609 White",Computers,11-20,3,920.76
"Proseware Projector 480p LCD12 Silver",Computers,11-20,3,250.68
"Contoso Digital Cordless Expansion Handset Phone M900 Grey","Cell phones",11-20,1,13.41
"Fabrikam Coffee Maker Auto 5C E090 Silver","Home Appliances",11-20,2,159.8
"Contoso Home Theater System 5.1 Channel M1530 Brown","TV and Video",11-20,7,1508.57
"Adventure Works 52" LCD HDTV X790W Black","TV and Video",11-20,3,3194.01
"Fabrikam Social Videographer 1" 25mm E400 Blue","Cameras and camcorders",11-20,1,92.15
"Contoso Optical USB Mouse M45 Grey",Computers,11-20,1,27.54
"Fabrikam Coffee Maker 4C E080 Silver","Home Appliances",11-20,1,63.67
"MGS MechWarrior 4 Mach Packs X100","Games and Toys",11-20,2,113.29
"Fabrikam Coffee Maker 12C M100 Silver","Home Appliances",11-20,4,1040.93
"The Phone Company PDA GPS Phone 3.7 inch M930 Silver","Cell phones",11-20,8,1287.68
"Contoso Phone Tough Skin Case E140 Silver","Cell phones",11-20,3,34.02
"WWI Desktop PC1.80 E1801 Black",Computers,11-20,45,5530.26
"MGS Shadow-run M230","Games and Toys",11-20,10,289.26
"Contoso Washer & Dryer 21in E210 Blue","Home Appliances",11-20,7,5486.46
"MGS Train Simulator 2009 E174","Games and Toys",11-20,7,124.59
"Fabrikam Laptop13.3W M3080 Red",Computers,11-20,2,381.36
"Adventure Works 32" LCD HDTV M130 Silver","TV and Video",11-20,21,5437.98
"Contoso 4G MP3 Player E400 Green",Audio,11-20,11,285.45
"Fabrikam Independent Filmmaker 2/3" 17mm X100 Blue","Cameras and camcorders",11-20,2,1567.27
"A. Datum SLR Camera X139 Gold","Cameras and camcorders",11-20,2,775.88
"A. Datum Point n' Shoot Digital Camera M500 Grey","Cameras and camcorders",11-20,3,274.81
"Headphone Adapter for Contoso Phone E130 White","Cell phones",11-20,4,18.28
"MGS Empires Collector's 2008 M440","Games and Toys",11-20,11,199.96
"Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black","Cell phones",11-20,19,2573.4
"Litware Washer & Dryer 21in E214 Green","Home Appliances",11-20,1,783.78
"MGS MechCollection2009 E156","Games and Toys",11-20,4,50.65
"Adventure Works LCD17 E200 Black",Computers,11-20,4,149.28
"SV DVD 55DVD Storage Binder M56 Red","Music, Movies and Audio Books",11-20,28,178.77
"SV Car Video LCD7 M7001 Brown","TV and Video",11-20,11,1643.12
"The Phone Company PDA Phone Unlocked 3.7 inches M510 Black","Cell phones",11-20,17,2017.54
"SV 2GB Laptop memory E800 Silver",Computers,11-20,6,161.76
"Proseware Duplex Scanner M200 White",Computers,11-20,6,482.88
"Fabrikam Trendsetter 1'' 25mm X400 White","Cameras and camcorders",11-20,6,3090.1
"WWI Stereo Bluetooth Headphones New Generation M370 White",Audio,11-20,22,1458.73
"Litware 14" High Velocity Floor Fan E801 White","Home Appliances",11-20,2,36.29
"Fabrikam Home and vacation moviemaker 1/3" 8.5mm M200 Blue","Cameras and camcorders",11-20,4,1284.21
"Proseware Air conditioner 25000BTU L167 Silver","Home Appliances",11-20,13,5855.12
"Litware 17'' Oscillating Pedestal Fan M125 Yellow","Home Appliances",11-20,11,1451
"The Phone Company Microsoft Windows Mobile M200 White","Cell phones",11-20,19,2369.62
"MGS Classic Flight Collection2009 E164","Games and Toys",11-20,4,70.06
"The Phone Company Smart phones without camera E100 Pink","Cell phones",11-20,6,375.6
"Contoso Rechargeable Li-Ion Battery Pack E300 White","Cameras and camcorders",11-20,6,129.91
"SV Car Video AM/FM E1001 Silver","TV and Video",11-20,5,720.32
"The Phone Company Touch Screen Phones - CRT M11 Gold","Cell phones",11-20,29,3243.33
"Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Grey","Cameras and camcorders",11-20,3,1221.11
"WWI Stereo Bluetooth Headphones New Generation M370 Blue",Audio,11-20,17,1082.79
"A. Datum SLR-like Digital Camera M400 Grey","Cameras and camcorders",11-20,2,212.7
"The Phone Company Touch Screen Phones 26-1.4" M250 Grey","Cell phones",11-20,14,2026.64
"The Phone Company Touch Screen Phones 26-2.2" M200 Gold","Cell phones",11-20,11,1154.84
"The Phone Company Touch Screen Phones Capacitive M908 Black","Cell phones",11-20,14,2288.12
"Fabrikam Refrigerator 3.2CuFt E1600 Grey","Home Appliances",11-20,4,548.96
"WWI Projector 480p LCD12 Black",Computers,11-20,7,785.75
"A. Datum Full Frame Digital Camera X300 Pink","Cameras and camcorders",11-20,1,154.47
"WWI Projector 720p DLP56 Black",Computers,11-20,2,970.96
"MGS Impossible Creatures E114","Games and Toys",11-20,13,178.36
"Contoso Home Theater System 5.1 Channel M1500 Silver","TV and Video",11-20,11,2318.5
"Fabrikam Refrigerator 24.7CuFt X9800 Silver","Home Appliances",11-20,13,35193.23
"Contoso SLR Camera 35" M358 Silver Grey","Cameras and camcorders",11-20,16,2714.76
"Contoso Multi-line phones M30 Black","Cell phones",11-20,5,52.01
"MGS Freelancer E113","Games and Toys",11-20,17,277.48
"Contoso Washer & Dryer 27in L270 Green","Home Appliances",11-20,3,5320.02
"Litware Microwave 0.9CuFt E090 Grey","Home Appliances",11-20,4,196.04
"Contoso Hybrid system M60 Grey","Cell phones",11-20,1,20.44
"Litware Home Theater System 7.1 Channel X711 Silver","TV and Video",11-20,1,967.9
"Adventure Works 42" LCD HDTV M55 Black","TV and Video",11-20,16,5702.6
"Fabrikam Social Videographer 2/3'' 17mm E100 White","Cameras and camcorders",11-20,5,364.29
"The Phone Company PDA Wifi 4.7-inch L290 Silver","Cell phones",11-20,8,1862.88
"SV Car Video AM/FM E1001 Brown","TV and Video",11-20,7,643.03
"Contoso Lens Cap Keeper E314 Yellow","Cameras and camcorders",11-20,10,31.79
"Contoso Home Theater System 5.1 Channel M1500 Brown","TV and Video",11-20,5,1061.79
"Contoso DVD 58 DVD Storage Binder M55 Black","Music, Movies and Audio Books",11-20,28,233.26
"Litware Microwave 0.8CuFt E080 Black","Home Appliances",11-20,1,61.45
"Contoso Screen 85in E085 White",Computers,11-20,3,204.39
"Adventure Works Desktop PC2.33 XD233 White",Computers,11-20,34,22710.45
"Adventure Works Laptop19W X1980 White",Computers,11-20,4,3277.22
"MGS Zoo Tycoon 2008 E142","Games and Toys",11-20,11,306.98
"SV Hand Games for students E40 Silver","Games and Toys",11-20,9,37.57
"Proseware Photo Inkjet Printer E290 Black",Computers,11-20,18,807.4
"Contoso Coffee Maker 5C E0900 White","Home Appliances",11-20,9,581.14
"Contoso Original K1m Li-Ion Standard Battery E170 Silver","Cell phones",11-20,7,11.91
"MGS Halo: Combat Evolved E109","Games and Toys",11-20,10,142.21
"Contoso Expandable 4-Handset Cordless Phone System M206 Black","Cell phones",11-20,5,118.3
"Adventure Works Wall Lamp E2150 White","Home Appliances",11-20,1,58.82
"Adventure Works Desktop PC2.30 MD230 Brown",Computers,11-20,25,8503.68
"Contoso USB Optical Mouse E200 White",Computers,11-20,12,111.23
"Fabrikam SLR Camera X148 Gold","Cameras and camcorders",11-20,1,575.51
"Contoso Water Heater 7.2GPM X1800 Green","Home Appliances",11-20,10,11195.98
"WWI LCD19 E107 Black",Computers,11-20,10,681.3
"A. Datum Consumer Digital Camera E100 Orange","Cameras and camcorders",11-20,4,455.96
"A. Datum Bridge Digital Camera M300 Azure","Cameras and camcorders",11-20,2,201.9
"Proseware LCD24 X300 Black",Computers,11-20,5,2439.23
"Fabrikam Budget Moviemaker 2/3'' 17mm E100 Grey","Cameras and camcorders",11-20,1,200.97
"A. Datum SLR Camera 35" X358 Blue","Cameras and camcorders",11-20,15,5494.1
"Proseware Scan Jet Digital Flat Bed Scanner M300 Black",Computers,11-20,5,254.81
"A. Datum Super-zoom Digital Camera X300 Pink","Cameras and camcorders",11-20,5,733.6
"Proseware Photo Smart All-in-One Printer M380 Grey",Computers,11-20,6,476.4
"SV Car Video AM/FM E1000 Brown","TV and Video",11-20,6,585.24
"MGS Flight Simulator X Acceleration Expansion Pack 2009 E128","Games and Toys",11-20,11,178.31
"The Phone Company PDA Handheld 3.7 inch M630 White","Cell phones",11-20,20,2873.6
"The Phone Company Pen Touch Screen Phones M320 Grey","Cell phones",11-20,7,1020.81
"A. Datum Ultra Compact Digital Camera M190 Green","Cameras and camcorders",11-20,4,301.19
"Fabrikam Refrigerator 9.7CuFt M5600 Brown","Home Appliances",11-20,1,266.29
"A. Datum SLR Camera X142 Orange","Cameras and camcorders",11-20,11,3079.84
"Contoso 3 Handset Cordless Phone System E30 White","Cell phones",11-20,5,41.65
"Adventure Works Coffee Maker Auto 10C M100 Silver","Home Appliances",11-20,10,3058.72
"Contoso DVD External DVD Burner M200 Black","Music, Movies and Audio Books",11-20,10,328.51
"Contoso DVD 15-Inch Player Portable L200 Black","Music, Movies and Audio Books",11-20,14,2572.45
"Contoso DVD 7-Inch Player Portable E200 Black","Music, Movies and Audio Books",11-20,20,1156.86
"Litware Refrigerator 3.2CuFt E160 Blue","Home Appliances",11-20,2,274.48
"MGS Hand Games women M400 Black","Games and Toys",11-20,21,113.42
"Fabrikam Microwave 1.0CuFt E1100 Black","Home Appliances",11-20,7,548.42
"Contoso SLR Camera X143 Grey","Cameras and camcorders",11-20,5,2159.85
"Contoso Projector 480p M481 White",Computers,11-20,2,489.2
"Fabrikam Microwave 1.6CuFt M1250 White","Home Appliances",11-20,11,1069.42
"MGS Hand Games for kids E300 Yellow","Games and Toys",11-20,2,4.78
"Reusable Phone Screen Protector E120","Cell phones",11-20,17,22.43
"Litware Refrigerator 24.7CuFt X980 White","Home Appliances",11-20,2,4279.54
"Contoso Coffee Maker 5C E0900 Black","Home Appliances",11-20,5,347.32
"SV DVD External DVD Burner M200 Silver","Music, Movies and Audio Books",11-20,21,680.21
"Adventure Works CRT15 E101 White",Computers,11-20,8,371.19
"WWI Stereo Bluetooth Headphones New Generation M370 Orange",Audio,11-20,24,1631.85
"SV DVD 7-Inch Player Portable E200 White","Music, Movies and Audio Books",11-20,18,948.51
"Adventure Works LCD20 M210 Black",Computers,11-20,3,419.67
"Adventure Works LCD24W X300 White",Computers,11-20,7,3994
"Contoso Multi-Use Terminal Cable E308 Black","Cameras and camcorders",11-20,3,52.62
"Fabrikam Business Videographer 1/2" 3mm M500 Blue","Cameras and camcorders",11-20,4,1784.85
"Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 White","Cameras and camcorders",11-20,5,1960.63
"Fabrikam SLR Camera X150 Orange","Cameras and camcorders",11-20,1,396.32
"A. Datum Rangefinder Digital Camera X200 Orange","Cameras and camcorders",11-20,7,936.18
"WWI Screen 125in M1611 Black",Computers,11-20,8,1989.82
"The Phone Company Smart phones Expert M400 Black","Cell phones",11-20,12,1858.03
